Rank,Name,Net Worth,Age,Source,Country
908,Sanjiv Goenka,$3.4 B,62,Diversified,India
909,Wang Wenjing,$3.4 B,59,Business software,China
910,Matthias Reinhart,$3.4 B,64,Financial services,Switzerland
911,Remo Ruffini,$3.4 B,62,Winter jackets,Italy
912,Wu Guanjiang & family,$3.4 B,55,Pharmaceuticals,China
913,Fernando Chico Pardo,$3.4 B,71,Airport management,Mexico
914,John Gandel,$3.4 B,89,Shopping malls,Australia
915,Senapathy Gopalakrishnan,$3.4 B,68,Software services,India
916,Jonathan Nelson,$3.4 B,67,Private equity,United States
917,Stéphane Bancel,$3.3 B,51,"Biotech, vaccines",France
918,Michael Federmann & family,$3.3 B,80,"Defense, hotels",Israel
919,Kalanithi Maran,$3.3 B,58,Media,India
920,Katharina Otto-Bernstein,$3.3 B,60,Real estate,Germany
921,Holden Spaht,$3.3 B,49,Private equity,United States
921,Scott Crabill,$3.3 B,53,Private equity,United States
921,Seth Boro,$3.3 B,48,Private equity,United States
924,Cen Junda,$3.3 B,59,Pharmaceuticals,China
925,Peter Gassner,$3.3 B,58,Software,United States
926,Liu Jincheng & family,$3.3 B,59,Lithium batteries,China
927,Gregorio Perez Companc & family,$3.3 B,88,Oil & gas,Argentina
928,Susan Carol Holland,$3.3 B,67,Hearing aids,Italy
929,Naguib Sawiris,$3.3 B,69,Telecom,Egypt
930,Ramon Ang,$3.3 B,69,Diversified,Philippines
931,Giuliana Benetton,$3.3 B,86,"Fashion retail, investments",Italy
932,Luciano Benetton,$3.3 B,88,"Fashion retail, investments",Italy
933,J. Tomilson Hill,$3.3 B,75,Investments,United States
934,Eric Douglas,$3.3 B,55,Investments,Sweden
935,Sandeep Engineer,$3.3 B,62,Plastic pipes,India
936,Daniel Ek,$3.3 B,40,Spotify,Sweden
937,Xiao Yongming & family,$3.3 B,59,Fertilizer,China
938,Norman Braman,$3.3 B,91,"Art, car dealerships",United States
939,Daniel Loeb,$3.3 B,62,Hedge funds,United States
940,Nik Storonsky,$3.3 B,39,Fintech,United Kingdom
941,Harald Tschira,$3.3 B,49,Software,Germany
941,Udo Tschira,$3.3 B,54,Software,Germany
943,Markus Blocher,$3.3 B,53,Chemicals,Switzerland
944,Jose Joao Abdalla Filho,$3.3 B,78,Investments,Brazil
945,Zhang Hejun,$3.3 B,72,Electronics,China
946,Sergei Gordeev,$3.3 B,51,Real estate,Russia
947,Arkady Rotenberg,$3.3 B,72,"Construction, pipes, banking",Russia
948,Alfred Gantner,$3.3 B,55,Private equity,Switzerland
948,Marcel Erni,$3.3 B,58,Private equity,Switzerland
948,Urs Wietlisbach,$3.3 B,62,Private equity,Switzerland
951,Isabella Seràgnoli,$3.3 B,78,Packaging,Italy
952,Ravi Modi,$3.3 B,46,Readymade garments,India
953,Kentaro Ogawa,$3.3 B,75,restaurants,Japan
954,John Arnold,$3.3 B,49,Hedge funds,United States
955,Lindsay Fox,$3.3 B,86,"Logistics, real estate",Australia
956,Carl Douglas,$3.3 B,62,Investments,Sweden
957,Sunny Varkey,$3.3 B,66,Education,India
958,Fatih Ozmen,$3.3 B,65,Aerospace,United States
959,Martin Ebner,$3.3 B,78,Investments,Switzerland
960,Cho Tak Wong,$3.3 B,77,Auto parts,Hong Kong
961,Sukanto Tanoto,$3.3 B,74,Diversified,Indonesia
962,Daniel Mate,$3.3 B,60,"Mining, commodities",Spain
963,Frank Slootman,$3.3 B,65,Software,United States
964,Edward DeBartolo Jr,$3.3 B,77,Shopping centers,United States
965,Satyanarayan Nuwal,$3.2 B,71,Industrial explosives,India
966,Li Gaiteng,$3.2 B,51,Hair dryers,China
967,Michael Hintze,$3.2 B,70,Investment,Australia
968,Sergei Galitsky,$3.2 B,56,Retail,Russia
969,Arnon Milchan,$3.2 B,79,Movie making,Israel
970,Stephen Deckoff,$3.2 B,58,Private equity,United States
971,Frank VanderSloot,$3.2 B,75,"Nutrition, wellness products",United States
972,Ravi Pillai,$3.2 B,70,Construction,India
973,Madhukar Parekh,$3.2 B,77,Adhesives,India
974,George Bishop,$3.2 B,86,Oil & gas,United States
975,Warren Stephens,$3.2 B,66,Investment banking,United States
976,Jane Lauder,$3.2 B,50,Estée Lauder,United States
977,Yadu Hari Dalmia & family,$3.2 B,76,Cement,India
978,Justin Ishbia,$3.2 B,46,Private equity,United States
979,John Coates,$3.2 B,53,Online gambling,United Kingdom
980,Gao Jifan & family,$3.2 B,58,Solar equipment,China
981,Adi Godrej,$3.2 B,81,Consumer goods,India
981,Jamshyd Godrej,$3.2 B,74,Diversified,India
981,Rishad Naoroji,$3.2 B,72,Consumer goods,India
981,Smita Crishna-Godrej,$3.2 B,73,Consumer goods,India
985,Wu Yiling,$3.2 B,74,Pharmaceuticals,China
986,Nicolas Berggruen,$3.2 B,62,"Real estate, investments",United States
987,Jayshree Ullal,$3.2 B,62,Computer networking,United States
988,Andrew Cherng,$3.2 B,76,Fast food,United States
988,Peggy Cherng,$3.2 B,76,Fast food,United States
990,Richard Peery,$3.2 B,85,Real estate,United States
991,Xie Liangzhi & family,$3.2 B,58,Biotech,China
992,Theodore Rachmat,$3.2 B,80,Diversified,Indonesia
993,Aneel Bhusri,$3.2 B,57,Business software,United States
994,Leonard Schleifer,$3.2 B,71,Pharmaceuticals,United States
995,Ruan Hongliang,$3.2 B,62,Glass,China
996,Bennett Dorrance,$3.2 B,77,Campbell Soup,United States
997,Howard Schultz,$3.2 B,70,Starbucks,United States
998,Su Hua,$3.2 B,42,Video streaming,China
999,Harsh Mariwala,$3.2 B,72,Consumer goods,India
1000,Robert Johnson,$3.2 B,76,"Johnson & Johnson, New York Jets",United States
1001,Hui Ka Yan,$3.2 B,65,Real estate,China
1002,Rita Tong Liu,$3.2 B,75,Real estate,Hong Kong
1003,Lin Chen-hai,$3.2 B,76,Real estate,Taiwan
1004,Hiroshi Mikitani,$3.2 B,58,online retail,Japan
1005,Friede Springer,$3.2 B,81,Publishing,Germany
1006,Todd Christopher,$3.2 B,61,Hair care products,United States
1007,Ronald McAulay,$3.2 B,88,Energy,Hong Kong
1008,Brian Acton,$3.1 B,51,WhatsApp,United States
1009,Zhou Jianping,$3.1 B,63,Fashion retail,China
1010,George Argyros & family,$3.1 B,86,"Real estate, investments",United States
1011,Falguni Nayar,$3.1 B,60,Retailing,India
1012,Stephen Rubin,$3.1 B,86,Sports apparel,United Kingdom
1013,Maja Oeri,$3.1 B,69,Pharmaceuticals,Switzerland
1014,Chen Hua & family,$3.1 B,58,Real estate,China
1015,Catheline Perier D'Ieteren,$3.1 B,79,"Auto parts, distribution",Belgium
1016,Sergei Popov,$3.1 B,52,Banking,Russia
1017,Bertil Hult,$3.1 B,82,Education,Sweden
1018,Nadir Godrej,$3.1 B,73,Consumer goods,India
1019,Jerry Speyer & family,$3.1 B,83,Real estate,United States
1020,Friedrich Knapp,$3.1 B,72,Fashion retail,Germany
1021,Todd Wanek,$3.1 B,59,Furniture,United States
1022,Rodney Sacks,$3.1 B,74,Energy drinks,United States
1023,Willis Johnson,$3.1 B,76,Damaged cars,United States
1024,Song Zuowen,$3.1 B,76,"Aluminum, diversified",China
1025,Tsai Ming-kai,$3.1 B,73,Semiconductors,Taiwan
1026,Zhou Bajin,$3.1 B,88,Auto parts,China
1027,Farhad Moshiri,$3.1 B,68,Diversified,United Kingdom
1028,Maria Del Pino,$3.1 B,67,Construction,Spain
1029,Geoffrey Palmer,$3.1 B,73,Real estate,United States
1030,Jean Coutu & family,$3.1 B,96,Drugstores,Canada
1031,Ron Burkle,$3.1 B,71,"Supermarkets, investments",United States
1032,Mike Adenuga,$3.1 B,70,"Telecom, oil",Nigeria
1033,Yuji Otsuka,$3.1 B,69,"Copy machines, software",Japan
1034,Chen Kaixuan,$3.1 B,65,Household chemicals,China
1035,Cao Longxiang & family,$3.1 B,66,Pharmaceuticals,China
1036,Zhang Tao,$3.1 B,51,E-commerce,China
1037,Xia Zuoquan,$3.1 B,62,"Automobiles, batteries",China
1038,Julio Ponce Lerou,$3.1 B,78,Fertilizer,Chile
1039,Pablo Legorreta,$3.1 B,60,Investments,United States
1040,Rafique Malik,$3.1 B,73,Footwear,India
1041,Karin Sartorius-Herbst,$3.1 B,,Biopharmaceuticals,Germany
1042,Robert Sands,$3.1 B,65,Liquor,United States
1043,Zhao Lixin,$3.0 B,58,Electronics,China
1044,Otto Happel,$3.0 B,75,Engineering,Germany
1045,Harsh Goenka,$3.0 B,66,Diversified,India
1046,Vanich Chaiyawan,$3.0 B,92,"Insurance, beverages",Thailand
1047,God Nisanov,$3.0 B,51,Real estate,Russia
1047,Zarakh Iliev,$3.0 B,57,Real estate,Russia
1049,Lin Ming-hsiung,$3.0 B,74,Supermarkets,Taiwan
1050,John Caudwell,$3.0 B,71,Mobile phones,United Kingdom
1051,Drayton McLane Jr,$3.0 B,87,"Walmart, logistics",United States
1052,Frank Fertitta III,$3.0 B,61,"Casinos, mixed martial arts",United States
1053,Shigenobu Nagamori,$3.0 B,79,motors,Japan
1054,Stewart Horejsi & family,$3.0 B,86,Berkshire Hathaway,United States
1055,Mikhail Gutseriev,$3.0 B,65,"Oil, coal, real estate",Russia
1056,Maren Otto,$3.0 B,,"Retail, real estate",Germany
1057,Jack Cowin,$3.0 B,81,Fast food,Australia
1058,Serge Godin,$3.0 B,74,Information technology,Canada
1059,Michael Jordan,$3.0 B,60,"Charlotte Hornets, endorsements",United States
1060,Thomas Tull,$3.0 B,53,"Movies, investments",United States
1061,Jeffrey Talpins,$3.0 B,48,Hedge fund,United States
1062,Haim Saban,$3.0 B,79,"TV network, investments",United States
1063,Samvel Karapetyan,$3.0 B,58,Real estate,Russia
1064,James Duff,$3.0 B,62,"Tires, diversified",United States
1064,Thomas Duff,$3.0 B,67,"Tires, diversified",United States
1066,Meg Whitman,$3.0 B,67,EBay,United States
1067,Nandan Nilekani,$3.0 B,68,Software services,India
1068,David Baszucki,$3.0 B,60,Online games,United States
1069,Huang Li,$3.0 B,60,Imaging systems,China
1070,William Wrigley Jr,$3.0 B,60,Chewing gum,United States
1071,Leng Youbin,$3.0 B,54,Infant formula,China
1072,Hu Baifan,$3.0 B,61,Pharmaceuticals,China
1073,John Fisher,$3.0 B,62,Gap,United States
1074,Charles Cohen,$3.0 B,71,Real estate,United States
1075,Kuok Khoon Hong,$3.0 B,74,Palm oil,Singapore
1076,Richard Branson,$3.0 B,73,Virgin,United Kingdom
1077,Salil Singhal,$3.0 B,76,Agrochemicals,India
1078,Erwin Franz Mueller,$3.0 B,91,Drugstores,Germany
1079,Zhang Lei,$3.0 B,51,Investments,China
1080,Eva Maria Bucher-Haefner,$3.0 B,66,"Software, investments",Switzerland
1081,Matthew Prince,$3.0 B,49,Cybersecurity,United States
1082,John Paul DeJoria,$3.0 B,79,"Hair products, tequila",United States
1083,Gilles Martin,$2.9 B,60,Laboratory services,France
1084,Gudrun Heine,$2.9 B,69,Medical devices,Germany
1084,Sybill Storz,$2.9 B,86,Medical devices,Germany
1086,Wu Guangming,$2.9 B,61,Medical equipment,China
1087,Bernard Ecclestone & family,$2.9 B,93,Formula One,United Kingdom
1088,Richard Chandler,$2.9 B,65,Investments,New Zealand
1089,Lorenzo Fertitta,$2.9 B,54,"Casinos, mixed martial arts",United States
1090,Lee Yeow Chor,$2.9 B,57,"Palm oil, property",Malaysia
1091,Alejandro Santo Domingo,$2.9 B,46,Beer,United States
1092,Patrick Lee,$2.9 B,82,Paper,Hong Kong
1093,Bill Austin,$2.9 B,81,Hearing aids,United States
1094,Chris Larsen,$2.9 B,63,Cryptocurrency,United States
1095,Zhang Wenzhong,$2.9 B,62,Supermarkets,China
1096,Tench Coxe,$2.9 B,65,Venture capital,United States
1097,Benjamin Otto,$2.9 B,,Retail,Germany
1098,Cai Dongchen,$2.9 B,70,Pharmaceuticals,China
1099,P.V. Ramprasad Reddy,$2.9 B,65,Pharmaceuticals,India
1100,Sebastian Glaser,$2.9 B,,Sensor technology,Germany
1101,Glen Taylor,$2.9 B,82,Printing,United States
1102,Ray Davis,$2.9 B,82,Pipelines,United States
1103,Karthik Sarma,$2.9 B,49,Hedge fund,India
1104,Or Wai Sheun,$2.9 B,72,Real estate,Hong Kong
1105,C. Dean Metropoulos,$2.9 B,77,Investments,United States
1106,Qiu Guanghe & family,$2.9 B,72,Fashion retail,China
1107,Robert Duggan,$2.9 B,79,Pharmaceuticals,United States
1108,Gustavo Denegri & family,$2.9 B,86,Biotech,Italy
1109,Juan Abello,$2.9 B,82,Investments,Spain
1110,Daniel Sundheim,$2.9 B,46,Hedge funds,United States
1111,Wayne Rothbaum,$2.9 B,55,Biotech investing,United States
1112,Bernard Fraisse & family,$2.9 B,67,Pharmaceuticals,France
1113,Glenn Dubin,$2.9 B,66,Hedge funds,United States
1114,Nirmal Minda,$2.9 B,66,Auto parts,India
1115,Alberto Siccardi & family,$2.9 B,79,Medical devices,Switzerland
1116,Wu Shaoxun,$2.9 B,68,Wine,China
1117,Guo Guangchang,$2.9 B,56,Conglomerate,China
1118,Feng Hailiang,$2.9 B,63,"Copper, education",China
1119,Bom Kim,$2.9 B,45,Online retailing,United States
1120,Lirio Parisotto,$2.9 B,70,Investments,Brazil
1121,Anne Beaufour,$2.8 B,60,Pharmaceuticals,France
1121,Henri Beaufour,$2.8 B,58,Pharmaceuticals,France
1123,Sergio Mantegazza,$2.8 B,96,Travel,Switzerland
1124,Eleanor Butt Crook & family,$2.8 B,91,Supermarkets,United States
1125,Prathap Reddy,$2.8 B,91,Healthcare,India
1126,Philip Niarchos,$2.8 B,70,Art collection,Greece
1127,An Kang,$2.8 B,74,Pharmaceuticals,China
1128,T.S. Kalyanaraman,$2.8 B,76,jewelry,India
1129,Lachhman Das Mittal,$2.8 B,93,Tractors,India
1130,Sean Parker,$2.8 B,44,Facebook,United States
1131,Christiane Schoeller,$2.8 B,,Publishing,Germany
1132,Harindarpal Banga,$2.8 B,73,Commodities,India
1133,Tung Chee Hwa,$2.8 B,86,Shipping,Hong Kong
1134,Maritsa Lazari & family,$2.8 B,79,Real estate,United Kingdom
1135,Oprah Winfrey,$2.8 B,69,TV shows,United States
1136,J. Hyatt Brown,$2.8 B,86,Insurance,United States
1137,Daniel Dines,$2.8 B,52,Software,Romania
1138,Qiu Jianping & family,$2.8 B,61,Hand tools,China
1139,Bill Alfond,$2.8 B,75,Shoes,United States
1139,Susan Alfond,$2.8 B,78,Shoes,United States
1139,Ted Alfond,$2.8 B,79,Shoes,United States
1142,Fan Daidi,$2.8 B,58,Skincare,China
1143,Anu Aga,$2.8 B,81,Engineering,India
1144,Chan Tan Ching-fen,$2.8 B,,Real estate,Hong Kong
1145,Theodore Leonsis,$2.8 B,67,Sports teams,United States
1146,Leon G. Cooperman,$2.8 B,80,Hedge funds,United States
1147,Paolo Rocca,$2.8 B,71,Pipe Manufacturing,Italy
1148,Gianfelice Rocca,$2.8 B,75,Pipe Manufacturing,Italy
1149,Robert Friedland,$2.8 B,73,Mining,United States
1150,Phillip T. (Terry) Ragon,$2.8 B,74,Health IT,United States
1151,Sebastian Piñera & family,$2.8 B,74,Investments,Chile
1152,Olivier Pomel,$2.8 B,46,Cloud computing,France
1153,Hua Li,$2.8 B,46,Financial services,China
1154,Semahat Sevim Arsel,$2.8 B,95,Diversified,Turkey
1155,Denis O'Brien,$2.8 B,65,Telecom,Ireland
1156,Felix Baker,$2.8 B,54,Biotech investing,United States
1157,Ranjan Pai,$2.8 B,51,"Education, healthcare",India
1158,Ramesh Juneja,$2.8 B,68,Pharmaceuticals,India
1159,Julian Baker,$2.8 B,57,Investing,United States
1160,Sun Shoukuan,$2.7 B,74,"Metals, coal",China
1161,Hans Langer,$2.7 B,71,3D printing,Germany
1162,Frank Laukien,$2.7 B,63,Scientific equipment,United States
1163,Ye Chenghai & family,$2.7 B,80,Pharmaceuticals,Hong Kong
1164,N. Murray Edwards,$2.7 B,64,Oil & gas,Canada
1165,Choo Chong Ngen,$2.7 B,70,hotels,Singapore
1166,Alexander Skorobogatko,$2.7 B,56,"Real estate, airport",Russia
1167,Lang Walker,$2.7 B,78,Real estate,Australia
1168,Timm Oberwelland,$2.7 B,,Candy,Germany
1169,Florentino Perez,$2.7 B,76,Construction,Spain
1170,James Packer,$2.7 B,56,Investments,Australia
1171,Miriam Baumann-Blocher,$2.7 B,49,Chemicals,Switzerland
1172,Anand Mahindra,$2.7 B,68,Diversified,India
1173,Lottie Tham & family,$2.7 B,74,H&M,Sweden
1174,Anna Katharina Viessmann,$2.7 B,,Heating and cooling equipment,Germany
1175,Rajeev Juneja,$2.7 B,58,Phamaceuticals,India
1176,Alceu Elias Feldmann & family,$2.7 B,74,Fertilizer,Brazil
1177,Alicia Koplowitz,$2.7 B,70,"Construction, investments",Spain
1178,Yvonne Bauer,$2.7 B,46,"Magazines, media",Germany
1179,John Pritzker,$2.7 B,70,"Hotels, investments",United States
1180,Ipek Kirac,$2.7 B,39,Diversified,Turkey
1181,Hans Georg Naeder,$2.7 B,62,Prosthetics,Germany
1182,Catherine Lozick,$2.7 B,78,Valve manufacturing,United States
1183,Kenneth Feld & family,$2.7 B,75,Live entertainment,United States
1184,Georg von Opel,$2.7 B,57,"Real estate, investments",Switzerland
1185,Bulat Utemuratov,$2.7 B,66,"Mining, banking, hotels",Kazakhstan
1186,Vincent McMahon,$2.7 B,78,Entertainment,United States
1187,Brad Kelley,$2.7 B,67,Tobacco,United States
1188,Herb Chambers,$2.7 B,82,Car dealerships,United States
1189,Kevin David Lehmann,$2.7 B,21,Drugstores,Germany
1190,Phil Ruffin,$2.7 B,88,"Casinos, real estate",United States
1191,Jurgen Wirtgen,$2.7 B,58,Construction Vehicles,Germany
1191,Stefan Wirtgen,$2.7 B,53,Construction Vehicles,Germany
1193,Cheng Xue,$2.7 B,53,Soy sauce,China
1194,Jed McCaleb,$2.7 B,49,Cryptocurrency,United States
1195,Taha Mikati,$2.7 B,78,Telecom,Lebanon
1196,Najib Mikati,$2.7 B,68,Telecom,Lebanon
1197,Domenico Dolce,$2.7 B,65,Luxury goods,Italy
1197,Stefano Gabbana,$2.7 B,61,Luxury goods,Italy
1199,Ibrahim Erdemoglu,$2.7 B,61,Carpet,Turkey
1200,Mohed Altrad,$2.7 B,75,"Scaffolding, cement mixers",France
1201,Nithin Kamath,$2.7 B,44,Financial services,India
1202,Egor Kulkov,$2.7 B,52,Pharmaceuticals,Russia
1203,Ralph Dommermuth,$2.6 B,60,Internet service provider,Germany
1204,Dieter Schnabel,$2.6 B,78,Chemicals,Germany
1205,John Dorrance III,$2.6 B,80,Campbell Soup,Ireland
1206,Ji Qi,$2.6 B,57,"Hotels, motels",China
1207,Maria-Elisabeth Schaeffler-Thumann,$2.6 B,82,Auto parts,Germany
1208,Eduardo Eurnekian,$2.6 B,91,"Airports, investments",Argentina
1209,Dong Jinggui,$2.6 B,,Electric scooters,China
1210,Alexander Frolov,$2.6 B,59,"Mining, steel",Russia
1211,Bernard Saul II & family,$2.6 B,91,"Banking, real estate",United States
1212,Lam Kong,$2.6 B,59,Pharmaceuticals,China
1213,Ben Ashkenazy,$2.6 B,54,Real estate,United States
1214,Sanjeev Bikhchandani,$2.6 B,60,Internet,India
1215,Alexis Lê-Quôc,$2.6 B,49,Cloud computing,United States
1216,Mortimer Zuckerman,$2.6 B,86,"Real estate, media",United States
1217,Wang Yanqing & family,$2.6 B,57,Electrical equipment,China
1218,Daniel Pritzker,$2.6 B,64,"Hotels, investments",United States
1219,Kavitark Ram Shriram,$2.6 B,66,"Venture capital, Google",United States
1220,Cheng Yixiao,$2.6 B,40,Video streaming app,China
1221,Jerry Yang,$2.6 B,55,Yahoo,United States
1222,Henry Laufer,$2.6 B,78,Hedge funds,United States
1223,Fashu Chen,$2.6 B,63,Investments,China
1224,Beda Diethelm,$2.6 B,82,Hearing aids,Switzerland
1225,Morris Chang,$2.6 B,92,Semiconductors,Taiwan
1226,Dwight Schar,$2.6 B,81,"Homebuilding, NFL team",United States
1227,Deng Wen,$2.6 B,55,Flavorings,China
1228,Balkrishan Goenka,$2.6 B,57,Textiles,India
1229,Jean-Pierre Cayard,$2.6 B,81,Spirits,France
1230,Vivek Chand Burman,$2.6 B,86,Consumer goods,India
1231,Tomas Olivo Lopez,$2.6 B,50,Shopping centers,Spain
1232,Dmitry Mazepin,$2.6 B,55,Chemicals,Russia
1233,Gu Yuhua & family,$2.6 B,74,Furniture,China
1234,Karen Virginia Beckmann Legoretta,$2.6 B,,Tequila,Mexico
1235,Bhadresh Shah,$2.6 B,72,Engineering,India
1236,Christian Latouche & family,$2.6 B,83,Accounting services,France
1237,August Troendle,$2.6 B,68,Pharmaceutical services,United States
1238,Vladimir Litvinenko & family,$2.6 B,68,Chemical industry,Russia
1239,Patrice Motsepe,$2.6 B,61,Mining,South Africa
1240,Eugene Murtagh,$2.6 B,81,Building materials,Ireland
1241,Lu Weiding,$2.6 B,52,Diversified,China
1242,Xu Jinfu & family,$2.6 B,60,Chemicals,China
1243,Vadim Moshkovich,$2.6 B,56,"Agriculture, land",Russia
1244,Roy Carroll II,$2.6 B,61,Real estate,United States
1245,Donald Trump,$2.6 B,77,Real estate,United States
1246,Tor Peterson,$2.5 B,59,Commodities,United States
1247,He Xiaopeng,$2.5 B,46,Electric vehicles,China
1248,Kei Hoi Pang,$2.5 B,58,Real estate,China
1249,Peter Unger,$2.5 B,79,Auto repair,Germany
1250,Thomas James,$2.5 B,81,Finance,United States
1251,Thor Bjorgolfsson,$2.5 B,56,Investments,Iceland
1252,Ted Turner,$2.5 B,85,Cable television,United States
1253,Julia Thiele-Schuerhoff,$2.5 B,52,"Brakes, investments",Germany
1254,John Tyson & family,$2.5 B,70,Food processing,United States
1255,Mang Yee Chu & family,$2.5 B,64,Real estate,China
1256,Katarina Martinson,$2.5 B,42,Investments,Sweden
1257,Alexandre Grendene Bartelle,$2.5 B,73,Shoes,Brazil
1258,Roman Trotsenko,$2.5 B,53,"Transport, engineering, real estate",Russia
1259,Forrest Li,$2.5 B,46,Gaming,Singapore
1260,Alexander Ponomarenko,$2.5 B,59,"Real estate, airport",Russia
1261,Oleg Deripaska,$2.5 B,55,"Aluminum, utilities",Russia
1262,Tseng Cheng,$2.5 B,62,Petrochemicals,Taiwan
1263,Gerald Ford,$2.5 B,79,Banking,United States
1264,Scott Shleifer,$2.5 B,46,Private equity,United States
1265,Hans Melchers,$2.5 B,85,"Chemicals, investments",Netherlands
1266,Huang Zhenda & family,$2.5 B,76,Construction,China
1267,Sergey Dmitriev,$2.5 B,57,Software,Cyprus
1268,Jay-Z,$2.5 B,54,Music,United States
1269,Guangxin Sun,$2.5 B,61,Diversified,China
1270,Mofatraj Munot,$2.5 B,79,Real estate,India
1271,Byron Trott,$2.5 B,65,Investments,United States
1272,Peter Hargreaves,$2.5 B,77,Financial services,United Kingdom
1273,Joseph Edelman,$2.5 B,68,Hedge funds,United States
1274,Zhang Bangxin,$2.5 B,44,Education,China
1275,Kishore Mariwala,$2.5 B,88,Consumer goods,India
1276,G. M. Rao,$2.5 B,73,Infrastructure,India
1277,Kwek Leng Kee,$2.5 B,69,Diversified,Singapore
1278,Wenrong Shen,$2.5 B,77,Steel production,China
1279,Du Jiangtao & family,$2.5 B,54,Chemicals,China
1280,Christoph Zeller,$2.5 B,66,Dental materials,Liechtenstein
1281,Abdulla Al Futtaim & family,$2.5 B,84,"Auto dealers, investments",United Arab Emirates
1282,Paul Gauselmann & family,$2.5 B,89,Gambling,Germany
1283,Roger Wang,$2.5 B,74,Retail,United States
1284,Alec Gores,$2.5 B,70,Private equity,United States
1285,Alberto Bombassei,$2.5 B,83,Automotive brakes,Italy
1286,Yusuf Hamied,$2.5 B,87,Pharmaceuticals,India
1287,Li Hongxin & family,$2.5 B,70,Paper & related products,China
1288,Dmitry Kamenshchik,$2.5 B,55,Airport,Russia
1289,Mustafa Rahmi Koc,$2.5 B,93,Diversified,Turkey
1290,Xie Weitong,$2.5 B,66,Cobalt,Taiwan
1291,Edward Bass,$2.5 B,78,"Oil, investments",United States
1292,Yoo Jung-hyun,$2.5 B,54,Online games,South Korea
1293,Charles Bronfman,$2.5 B,92,Liquor,Canada
1294,Zhu Xingming,$2.5 B,56,Electrical equipment,China
1295,Mitchell Goldhar,$2.5 B,62,Real estate,Canada
1296,Stephen Mandel Jr,$2.5 B,67,Hedge funds,United States
1297,Kiran Mazumdar-Shaw,$2.4 B,70,Biopharmaceuticals,India
1298,Jonathan Kwok,$2.4 B,31,Real Estate,Hong Kong
1299,Geoffrey Kwok,$2.4 B,38,Real estate,Hong Kong
1300,Alexey Repik,$2.4 B,44,Pharmaceuticals,Russia
1301,S. Daniel Abraham,$2.4 B,99,Slim-Fast,United States
1302,Yuzhu Shi,$2.4 B,61,"Online games, investments",China
1303,Wolfgang Leitner,$2.4 B,70,Engineering,Austria
1304,Otto Philipp Braun,$2.4 B,46,Medical technology,Germany
1305,David Wertheim,$2.4 B,66,Coca-Cola Israel,Israel
1306,Sam Goi,$2.4 B,77,Frozen foods,Singapore
1307,K. Dinesh,$2.4 B,69,Software services,India
1308,Angela Leong,$2.4 B,62,Casinos,Hong Kong
1309,Chen Tei-fu,$2.4 B,75,Herbal products,Taiwan
1310,Masateru Uno & family,$2.4 B,76,drugstores,Japan
1311,Wang Junshi & family,$2.4 B,74,Solar inverters,China
1312,Lucio Tan,$2.4 B,89,Diversified,Philippines
1313,Ferit Faik Sahenk,$2.4 B,59,Diversified,Turkey
1314,Richard Sands,$2.4 B,72,Liquor,United States
1315,Jerry Reinsdorf,$2.4 B,87,Sports teams,United States
1316,Erman Ilicak,$2.4 B,56,Construction,Turkey
1317,Steven Sarowitz,$2.4 B,58,Payroll software,United States
1318,Zhang Xinghai & family,$2.4 B,61,Machinery,China
1319,Andrei Bokarev,$2.4 B,57,"Metals, mining",Russia
1320,Bruce Karsh,$2.4 B,68,Private equity,United States
1321,Thi Phuong Thao Nguyen,$2.4 B,53,Airlines,Vietnam
1322,Zhang Fan,$2.4 B,58,Touch screens,China
1323,William Stone,$2.4 B,68,Software,United States
1324,Paul-Heinz Wesjohann & family,$2.4 B,80,Chicken processing,Germany
1325,Augusto Perfetti,$2.4 B,,Candy,Italy
1325,Giorgio Perfetti,$2.4 B,,Candy,Italy
1327,Henry Davis,$2.4 B,72,Beef processing,United States
1328,Zhu Gongshan & family,$2.4 B,66,Solar panel materials,China
1329,Xue Hua,$2.4 B,,Agribusiness,China
1330,Stephen Lansdown,$2.4 B,71,Financial services,Guernsey
1331,Qian Dongqi,$2.4 B,66,Home-cleaning robots,China
1332,Ulrike Baro,$2.4 B,,Biopharmaceuticals,Germany
1333,Basudeo Singh,$2.4 B,83,Pharmaceuticals,India
1334,David Walentas,$2.3 B,85,Real estate,United States
1335,Lutz Mario Helmig & family,$2.3 B,77,Hospitals,Germany
1336,Koos Bekker,$2.3 B,71,"Media, investments",South Africa
1337,T.Y. Tsai,$2.3 B,70,Finance,Taiwan
1338,Georg Haub,$2.3 B,62,Retail,Germany
1339,Hans Sy,$2.3 B,68,Diversified,Philippines
1340,Sol Daurella,$2.3 B,58,Coca-Cola bottler,Spain
1341,Kenneth Dart,$2.3 B,68,Investments,Belize
1342,Li Jianquan & family,$2.3 B,66,Consumer products,Hong Kong
1343,Herbert Sy,$2.3 B,67,Diversified,Philippines
1344,Tang Yiu,$2.3 B,89,Fashion retail,Hong Kong
1345,Kie Chie Wong,$2.3 B,75,Investments,Malaysia
1346,David Nahmad,$2.3 B,76,Art collection,Monaco
1347,Ali Erdemoglu,$2.3 B,64,Carpet,Turkey
1348,Mi Enhua,$2.3 B,65,Retail,China
1349,Henry Sy Jr,$2.3 B,70,Diversified,Philippines
1350,Bruce Cheng,$2.3 B,87,Electronics,Taiwan
